Course,Topic#,Topic,Check,Q#,Type,Question,Options,Configured correct answer,Critical,Needs confirmation
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,0,mcq,What are the benefits of using the Outdure framing,"Perfectly straight every time | Configurable to suit all deck types | Has easy to install components | No uneven extra lapping material on connections, flush finish every time | Lightweight and easy to handle | Will remain durable for many years to come | All of the above",All of the above,,"review ""all of the above"" giveaway; confirm technical accuracy"
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,1,true_false,Outdure has framing to suit Elevated structures and low height structures.,True | False,True,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,2,true_false,Outdure framing is designed to comply with international engineering requirements.,True | False,True,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,3,mcq,How many Outdure Joist / Beam profiles are there?,6 | 4 | 8 | 7,6,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,4,mcq,What length do the Outdure Joist / Beam profiles come in?,10' / 2.8m | 40' / 12.1m | 20' / 5.8m | 30' / 9.1m,20' / 5.8m,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,5,mcq,What is the Outdure frame made of?,Steel | Composite | Aluminium | Pressure treated lumber,Aluminium,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,6,mcq,What is the lowest Outdure Joist / Beam profile available?,"1"" / 28mm | 1/2"" / 13mm | 3/8"" / 10mm | 2"" / 45mm","1/2"" / 13mm",,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,7,true_false,All Outdure framing profiles include the option to use our proprietary Twistclips ?,True | False,True,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,8,mcq,"Which code name matches the (2X1/2"") 13X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A100,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,9,mcq,"Which code name matches the (2X1"") 28X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A110,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,10,mcq,"Which code name matches the (2X2"") 45X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A120,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,11,mcq,"Which code name matches the (2X4"") 90X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A130,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,12,mcq,"Which code name matches the (2X6"") 135X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A140,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,QwickBuild - Quiz,13,mcq,"Which code name matches the (2X8"") 180X45mm joist/beam profile?",A100 | A110 | A120 | A130 | A140 | A150,A150,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,A194 / A195 - Quiz,0,mcq,How many Outdure Post profiles are there?,10 | 2 | 6 | 3,2,,confirm technical accuracy
Outdure Installer Training,2,EP 1 — Qwickbuild Overview and A100,A194 / A195 - Quiz,1,multi_select,Which of the below Post sizes are available in the Outdure range?,"4x4"" / 90x90mm | 2x2"" / 45x45mm | 6x6"" / 135x135mm | 8x8"" / 180x180mm","4x4"" / 90x90mm | 6x6"" / 135x135mm",,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A201 - Quiz,0,mcq,Which item is the A201 90° Bracket?,Image 1   Double joist bracket | Image 2   Joist anchor | Image 3   90 bracket | Image 4   Joiner bracket,Image 3   90 bracket,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A201 - Quiz,1,mcq,When would you use A201 90° brackets on both sides of the profile?,Non-load bearing structural connection | Load bearing structural connection | Whenever I have leftover brackets,Load bearing structural connection,,confirm technical accuracy
Outdure Installer Training,3,EP 2 — Qwickbuild Most Common Brackets,A201 - Quiz,2,mcq,How many A201 90° Brackets are included in a box?,5 | 10 | 15 | 20,10,,confirm technical accuracy
